,station_name,lat,lng,start_count,end_count
197,Perry St & Bleecker St,40.735,-74.005,653.0,642.0
198,Barrow St & Hudson St,40.732,-74.007,651.0,626.0
199,E 72 St & Park Ave,40.771,-73.964,649.0,667.0
200,Madison Av & E 51 St,40.759,-73.975,647.0,703.0
201,E 91 St & 2 Ave,40.781,-73.95,646.0,661.0
202,Rivington St & Ridge St,40.719,-73.983,645.0,602.0
203,W 26 St & 10 Ave,40.75,-74.003,643.0,663.0
204,Stanton St & Norfolk St,40.721,-73.986,639.0,656.0
205,Madison Ave & E 26 St,40.743,-73.987,636.0,633.0
206,11 Ave & W 59 St,40.771,-73.99,636.0,641.0
207,E 6 St & Avenue D,40.722,-73.977,630.0,637.0
208,Broadway & Berry St,40.71,-73.965,628.0,635.0
209,W 100 St & Broadway,40.797,-73.97,625.0,618.0
210,Spring St & Hudson St,40.726,-74.008,624.0,608.0
211,Central Park West & W 76 St,40.779,-73.974,621.0,604.0
212,E 47 St & 2 Ave,40.753,-73.97,619.0,630.0
213,Amsterdam Ave & W 82 St,40.785,-73.977,617.0,620.0
214,Ave A & E 11 St,40.729,-73.982,616.0,639.0
215,S 3 St & Bedford Ave,40.713,-73.963,613.0,641.0
216,Lexington Ave & E 29 St,40.743,-73.982,611.0,604.0
217,E 39 St & Lexington Ave,40.749,-73.977,609.0,615.0
218,W 64 St & Thelonious Monk Circle,40.775,-73.989,607.0,610.0
219,W 84 St & Columbus Ave,40.785,-73.973,606.0,616.0
220,E 9 St & 5 Ave,40.733,-73.996,606.0,655.0
221,Bayard St & Baxter St,40.716,-74.0,605.0,622.0
222,E 56 St & 3 Ave,40.759,-73.968,603.0,595.0
223,E 6 St & Avenue B,40.725,-73.982,600.0,597.0
224,W 34 St &\tHudson Blvd E,40.755,-74.001,599.0,649.0
225,Hudson St & W 13 St,40.74,-74.005,597.0,609.0
226,MacDougal St & Prince St,40.727,-74.003,595.0,612.0
227,West Thames St,40.708,-74.017,595.0,555.0
228,Little West St & 1 Pl,40.706,-74.017,593.0,595.0
229,Forsyth St & Canal St,40.716,-73.994,592.0,597.0
230,Lexington Ave & E 36 St,40.748,-73.979,590.0,585.0
231,E 11 St & Avenue B,40.727,-73.98,587.0,562.0
232,W 42 St & Dyer Ave,40.759,-73.994,586.0,548.0
233,E 84 St & 1 Ave,40.776,-73.951,586.0,587.0
234,E 27 St & Park Ave S,40.743,-73.985,581.0,587.0
235,5 Ave & E 93 St,40.786,-73.957,579.0,597.0
236,W 34 St & 11 Ave,40.756,-74.002,576.0,573.0
237,Plaza St East & Flatbush Ave,40.673,-73.969,576.0,424.0
238,Riverside Dr & W 72 St,40.781,-73.986,576.0,492.0
239,E 3 St & 1 Ave,40.725,-73.988,575.0,576.0
240,E 5 St & Ave A,40.725,-73.984,573.0,577.0
241,Lexington Ave & E 26 St,40.741,-73.983,570.0,564.0
242,W 56 St & 10 Ave,40.768,-73.989,569.0,544.0
243,W 35 St & 9 Ave,40.754,-73.996,568.0,553.0
244,W 100 St & Manhattan Ave,40.795,-73.964,566.0,581.0
245,E 7 St & Ave C,40.724,-73.979,565.0,530.0
246,Frederick Douglass Blvd & W 117 St,40.805,-73.955,565.0,581.0
247,E 16 St & Irving Pl,40.735,-73.988,561.0,597.0
248,5 Ave & E 72 St,40.773,-73.967,561.0,553.0
249,E 51 St & 2 Ave,40.755,-73.968,561.0,539.0
250,Lawrence St & Willoughby St,40.692,-73.986,561.0,562.0
251,2 Ave & E 96 St,40.784,-73.947,560.0,557.0
252,Driggs Ave & N 9 St,40.718,-73.955,556.0,586.0
253,Stanton St & Chrystie St,40.722,-73.991,556.0,607.0
254,W 36 St & 9 Ave,40.755,-73.995,554.0,532.0
255,Fulton St & Broadway,40.711,-74.009,552.0,617.0
256,E 48 St & 5 Ave,40.757,-73.978,550.0,553.0
257,E 30 St & Park Ave S,40.744,-73.983,550.0,554.0
258,W 36 St & 7 Ave,40.752,-73.99,549.0,537.0
259,E 12 St & 3 Ave,40.732,-73.989,548.0,544.0
260,W 89 St & Columbus Ave,40.788,-73.97,547.0,557.0
261,E 2 St & 2 Ave,40.725,-73.991,547.0,549.0
262,E 41 St & Madison Ave (SW corner),40.752,-73.98,546.0,559.0
263,Frederick Douglass Blvd & W 112 St,40.802,-73.957,543.0,562.0
264,Lafayette Ave & Ft Greene Pl,40.687,-73.977,543.0,542.0
265,E 53 St & Madison Ave,40.76,-73.974,542.0,529.0
266,Mercer St & Bleecker St,40.727,-73.997,542.0,561.0
267,Park Ave & E 124 St,40.805,-73.94,540.0,546.0
268,W 76 St & Columbus Ave,40.78,-73.977,538.0,482.0
269,Murray St & Greenwich St,40.715,-74.011,535.0,546.0
270,Queens Plaza North & Crescent St,40.751,-73.941,534.0,575.0
271,W 106 St & Central Park West,40.798,-73.961,533.0,535.0
272,Murray St & West St,40.715,-74.013,533.0,558.0
273,W 12 St & Hudson St,40.738,-74.006,532.0,552.0
274,E 9 St & Avenue C,40.725,-73.978,532.0,533.0
275,7 Ave S & Bleecker St,40.732,-74.004,530.0,545.0
276,E 25 St & 1 Ave,40.738,-73.977,522.0,518.0
277,Grand St & Greene St,40.722,-74.002,522.0,540.0
278,E 58 St & 1 Ave (NW Corner),40.759,-73.963,522.0,500.0
279,W 95 St & Broadway,40.794,-73.972,522.0,501.0
280,Berkeley Pl & 7 Ave,40.675,-73.975,521.0,533.0
281,Broadway & W 36 St,40.751,-73.988,517.0,518.0
282,W 50 St & 9 Ave,40.764,-73.989,515.0,529.0
283,E 48 St & 3 Ave,40.755,-73.972,514.0,534.0
284,7 Ave & Park Pl,40.678,-73.973,513.0,519.0
285,Leonard St & Church St,40.718,-74.006,512.0,535.0
286,W 30 St & 8 Ave,40.75,-73.995,512.0,508.0
287,E 88 St & 1 Ave,40.778,-73.949,512.0,512.0
288,W 52 St & 11 Ave,40.767,-73.994,511.0,517.0
289,1 Ave & E 44 St,40.75,-73.969,510.0,516.0
290,E 26 St & 3 Ave,40.741,-73.982,510.0,499.0
291,Central Park W & W 103 St,40.796,-73.962,503.0,462.0
292,Milton St & Franklin St,40.729,-73.958,502.0,520.0
293,Rivington St & Chrystie St,40.721,-73.992,501.0,512.0
294,E 63 St & 3 Ave,40.764,-73.965,500.0,453.0
295,Avenue D & E 3 St,40.721,-73.978,498.0,504.0
296,E 81 St & York Ave,40.773,-73.95,496.0,487.0
297,Market St & Henry St,40.713,-73.994,496.0,494.0
